productName,companyName,receptionNumber
Tên sản phẩm,Tên công ty,Số tiếp nhận
Thực phẩm bảo vệ sức khoẻ BIO - SMART DHA EPA,CÔNG TY TNHH DƯỢC PHẨM GENETIC,6332/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe REGENESIS MAX,Văn phòng đại diện Exeltis Healthcare S.L.,6331/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe LAC MEN’S HORNY GOAT WEED PLUS,CÔNG TY TNHH LAC VIETNAM,6330/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NHUẬN TÁO SANO,CÔNG TY TNHH LIÊN DOANH QUỐC TẾ SANOFRANCE,6329/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Tăng đề kháng Zinzin Kiddy Health care,CÔNG TY TNHH DƯỢC MỸ PHẨM QUỐC TẾ HEALTH CARE,6328/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Ích hoàng khang,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI ĐÔNG Y DƯỢC HƯNG VƯỢNG,6327/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BOGAVANIC,CÔNG TY CỔ PHẦN DƯỢC VẬT TƯ Y TẾ THÁI BÌNH,6326/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DHAMOMCARE CHITTA,CÔNG TY TNHH CHITTA PHARMA,6325/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GAI CỐT KHANG PLUS,CÔNG TY CỔ PHẦN TẬP ĐOÀN KOHINOOR STAR,6324/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ASBRETON DOUBLE,CÔNG TY CỔ PHẦN ASTA HEALTHCARE USA,6323/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Lv Protect Plus,CÔNG TY DƯỢC PHẨM VÀ THƯƠNG MẠI PHƯƠNG ĐÔNG – (TNHH),6322/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BREVICILLIN,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN MINH,6321/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Men vi sinh probaby 6 tỉ lợi khuẩn,CÔNG TY TNHH THẢO DƯỢC ĐQ PHARMA,6320/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HAXI BONE,CÔNG TY CỔ PHẦN VIỆN TRỊ LIỆU CÔNG NGHỆ CAO TOÀN CẦU,6319/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HealthQ Bảo Phế An,CÔNG TY CỔ PHẦN VIỆT NAM PHARMACY PLATFORM - HHA,6318/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ NGỦ NGON DƯỠNG TÂM VNP TAB,CÔNG TY TNHH DƯỢC PHẨM VNP,6251/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ BIO PROTIQUE GOLD,CÔNG TY TNHH AUDACE LAB,6317/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ XƯƠNG KHỚP VAI GÁY GOODSAMAX,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ TRÍ TÍN,6316/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe XUÂN MỸ VƯƠNG,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUÂN DƯỢC,6315/2024/ĐKSP
